1,1.194354758346272,0.9307775497436523,18,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2016851705352591,0.9593725204467773,19,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1635674101379998,0.9353218078613281,0,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1364169716178332,0.9447274208068848,1,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.100277761419357,0.9363830089569092,2,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1191572485802992,0.9213101863861084,3,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1728387399948166,0.9343669414520264,4,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.122942794990897,0.9228122234344482,5,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1772828586025352,0.917346715927124,6,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1438598212192321,0.9337310791015625,7,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0869613231265842,0.9352118968963623,8,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1415389920548114,0.9239122867584229,9,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0801310209331856,0.9321603775024414,10,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1672833365801047,0.9321930408477783,11,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1051713137209362,0.9257502555847168,12,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1163949265681508,0.9286215305328369,13,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1063150824890513,0.9341928958892822,14,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.120917388711349,0.921137809753418,15,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.162625933003511,0.9217290878295898,16,{'V': 25, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1244841480773553,0.9367125034332275,17,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0909686373522085,0.9218578338623047,18,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0303851504405301,0.9339017868041992,19,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.086445076993455,0.9503569602966309,0,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0748988613735124,0.9278824329376221,1,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0341077196393524,0.9503061771392822,2,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0459612165402017,0.9597926139831543,3,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0988858738438527,0.9157075881958008,4,{'V': 20, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.054771661610084,0.9459617137908936,5,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.116732241337934,0.9384415149688721,6,{'V': 20, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0580899965050345,0.9186432361602783,7,{'V': 25, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0614355173102261,0.9104986190795898,8,{'V': 20, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0672223210194667,0.9312355518341064,9,{'V': 25, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0144445986764183,0.9226524829864502,10,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0822043806297088,0.9115750789642334,11,{'V': 20, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0441604092593644,0.9556784629821777,12,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0431202044205723,0.9046175479888916,13,{'V': 20, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.078849162588023,0.9202351570129395,14,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.051836620741788,0.9341733455657959,15,{'V': 20, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0978389693466648,0.912722110748291,16,{'V': 25, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.118546643312691,0.9243080615997314,17,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0333567524112137,0.9244325160980225,18,{'V': 20, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0026297903520278,0.9153108596801758,19,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.413461694517456,0.04243659973144531,0,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 2, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
